mean_sentiment,us_state,date,politician,ticket
-0.19522518,no_loc,2020-10-01,donaldtrump,Republican
0.19595,Idaho,2020-10-01,kamalaharris,Democrat
-0.29745385,North Carolina,2020-10-01,donaldtrump,Republican
0.058160003,Nebraska,2020-10-01,joebiden,Democrat
0.17233999,Alabama,2020-10-01,kamalaharris,Democrat
-0.36124375,Virginia,2020-10-01,donaldtrump,Republican
-0.22681665,Wisconsin,2020-10-01,donaldtrump,Republican
-0.16584998,South Dakota,2020-10-01,kamalaharris,Democrat
-0.8834,South Dakota,2020-10-01,donaldtrump,Republican
0.64265,North Dakota,2020-10-01,kamalaharris,Democrat
-0.28372142,South Carolina,2020-10-01,donaldtrump,Republican
0.27046666,Maryland,2020-10-01,kamalaharris,Democrat
-0.4367,Idaho,2020-10-01,donaldtrump,Republican
-0.0401875,District of Columbia,2020-10-01,joebiden,Democrat
0.12236,South Carolina,2020-10-01,joebiden,Democrat
0.0463,Nebraska,2020-10-01,donaldtrump,Republican
-0.2118,Alabama,2020-10-01,donaldtrump,Republican
-0.16779998,Louisiana,2020-10-01,kamalaharris,Democrat
-0.2363,Montana,2020-10-01,donaldtrump,Republican
-0.004607404,Michigan,2020-10-01,donaldtrump,Republican
0.20861249,Massachusetts,2020-10-01,kamalaharris,Democrat
-0.4696,Texas,2020-10-01,mikepence,Republican
0.38024998,Nebraska,2020-10-01,mikepence,Republican
0.09066665,Minnesota,2020-10-01,joebiden,Democrat
0.2031,Illinois,2020-10-01,mikepence,Republican
-0.049439993,Louisiana,2020-10-01,joebiden,Democrat
0.71424997,Iowa,2020-10-01,kamalaharris,Democrat
0.06646389,New York,2020-10-01,kamalaharris,Democrat
0.010877778,Iowa,2020-10-01,joebiden,Democrat
-0.48405,Puerto Rico,2020-10-01,donaldtrump,Republican
-0.005842852,Kansas,2020-10-01,kamalaharris,Democrat
0.0,Kentucky,2020-10-01,mikepence,Republican
0.30300835,Georgia,2020-10-01,kamalaharris,Democrat
-0.5994,South Carolina,2020-10-01,mikepence,Republican
0.410475,Oregon,2020-10-01,joebiden,Democrat
0.15481438,other,2020-10-01,kamalaharris,Democrat
-0.20961429,Washington,2020-10-01,joebiden,Democrat
-0.1257,Montana,2020-10-01,joebiden,Democrat
0.07429546,Texas,2020-10-01,kamalaharris,Democrat
0.06259643,Illinois,2020-10-01,joebiden,Democrat
-0.2129,Missouri,2020-10-01,donaldtrump,Republican
-0.72345,Vermont,2020-10-01,kamalaharris,Democrat
0.6365,Maine,2020-10-01,kamalaharris,Democrat
0.20759411,Colorado,2020-10-01,joebiden,Democrat
-0.13816296,Massachusetts,2020-10-01,donaldtrump,Republican
-0.25493333,Arizona,2020-10-01,donaldtrump,Republican
-0.11461765,Tennessee,2020-10-01,joebiden,Democrat
0.21073501,Virginia,2020-10-01,kamalaharris,Democrat
-0.12442609,Ohio,2020-10-01,donaldtrump,Republican
-0.47036666,Wisconsin,2020-10-01,joebiden,Democrat
0.0,North Dakota,2020-10-01,donaldtrump,Republican
-0.44117144,Kentucky,2020-10-01,donaldtrump,Republican
-0.063985,District of Columbia,2020-10-01,donaldtrump,Republican
0.21914,Nevada,2020-10-01,kamalaharris,Democrat
0.044211112,Pennsylvania,2020-10-01,kamalaharris,Democrat
0.14792,Missouri,2020-10-01,joebiden,Democrat
0.39450833,District of Columbia,2020-10-01,kamalaharris,Democrat
0.15895624,other,2020-10-01,mikepence,Republican
-0.22190714,California,2020-10-01,mikepence,Republican
-0.47480002,Mississippi,2020-10-01,joebiden,Democrat
0.0019520016,Georgia,2020-10-01,joebiden,Democrat
-0.13188334,Oklahoma,2020-10-01,joebiden,Democrat
-0.7269,Alaska,2020-10-01,donaldtrump,Republican
-0.0035038458,New Jersey,2020-10-01,donaldtrump,Republican
-0.23722857,Nevada,2020-10-01,donaldtrump,Republican
0.0,Michigan,2020-10-01,mikepence,Republican
0.8539,Maine,2020-10-01,mikepence,Republican
0.095654555,Michigan,2020-10-01,kamalaharris,Democrat
-0.10005348,no_loc,2020-10-01,mikepence,Republican
0.18509091,West Virginia,2020-10-01,kamalaharris,Democrat
0.51975715,Connecticut,2020-10-01,donaldtrump,Republican
0.35276666,Wyoming,2020-10-01,joebiden,Democrat
0.080936365,New Jersey,2020-10-01,kamalaharris,Democrat
0.030283334,Florida,2020-10-01,kamalaharris,Democrat
0.38505,New Mexico,2020-10-01,kamalaharris,Democrat
-0.1806,Iowa,2020-10-01,donaldtrump,Republican
-0.32535264,Indiana,2020-10-01,donaldtrump,Republican
-0.16137922,Florida,2020-10-01,donaldtrump,Republican
0.0516,Colorado,2020-10-01,mikepence,Republican
-0.45373333,Pennsylvania,2020-10-01,mikepence,Republican
-0.3954,Minnesota,2020-10-01,mikepence,Republican
0.0050074155,Michigan,2020-10-01,joebiden,Democrat
-0.23935893,California,2020-10-01,donaldtrump,Republican
-0.08655263,New York,2020-10-01,donaldtrump,Republican
-0.1531,Vermont,2020-10-01,joebiden,Democrat
0.2151,Minnesota,2020-10-01,kamalaharris,Democrat
-0.124126665,Massachusetts,2020-10-01,joebiden,Democrat
0.07705714,Pennsylvania,2020-10-01,joebiden,Democrat
0.34136,Utah,2020-10-01,kamalaharris,Democrat
0.09508235,Arizona,2020-10-01,joebiden,Democrat
-0.02088333,Tennessee,2020-10-01,donaldtrump,Republican
-0.16337499,New Mexico,2020-10-01,donaldtrump,Republican
0.17007777,Kentucky,2020-10-01,joebiden,Democrat
-0.47856668,Colorado,2020-10-02,mikepence,Republican
0.30143332,Utah,2020-10-02,mikepence,Republican
0.6507667,Kentucky,2020-10-02,kamalaharris,Democrat
-0.1909,West Virginia,2020-10-02,kamalaharris,Democrat
-0.21324286,Ohio,2020-10-02,mikepence,Republican
-0.903,Vermont,2020-10-02,kamalaharris,Democrat
0.054499984,New Mexico,2020-10-02,mikepence,Republican
0.04008239,other,2020-10-02,donaldtrump,Republican
-0.014233336,New Jersey,2020-10-02,joebiden,Democrat
0.34132,South Carolina,2020-10-02,mikepence,Republican
0.43,Illinois,2020-10-02,kamalaharris,Democrat
-0.12819245,California,2020-10-02,joebiden,Democrat
-0.063480005,New Jersey,2020-10-02,mikepence,Republican
-0.9201,Colorado,2020-10-02,donaldtrump,Republican
0.09770588,North Carolina,2020-10-02,joebiden,Democrat
0.22186667,Virginia,2020-10-02,kamalaharris,Democrat
0.0,Arizona,2020-10-02,kamalaharris,Democrat
0.8814,South Carolina,2020-10-02,donaldtrump,Republican
0.08808308,no_loc,2020-10-02,mikepence,Republican
-0.87495,Missouri,2020-10-02,donaldtrump,Republican
-0.9457,Utah,2020-10-02,joebiden,Democrat
-0.1346125,Michigan,2020-10-02,donaldtrump,Republican
-0.10613637,New York,2020-10-02,joebiden,Democrat
-0.796725,Oregon,2020-10-02,donaldtrump,Republican
-0.08087273,North Carolina,2020-10-02,donaldtrump,Republican
-0.624,Vermont,2020-10-02,donaldtrump,Republican
0.07575053,no_loc,2020-10-02,kamalaharris,Democrat
-0.743,Delaware,2020-10-02,mikepence,Republican
0.3919,Colorado,2020-10-02,kamalaharris,Democrat
0.109366655,West Virginia,2020-10-02,joebiden,Democrat
-0.32857502,Alabama,2020-10-02,joebiden,Democrat
-0.35455,Georgia,2020-10-02,donaldtrump,Republican
-0.19849999,Montana,2020-10-02,mikepence,Republican
0.426525,Connecticut,2020-10-02,donaldtrump,Republican
-0.031766668,Rhode Island,2020-10-02,mikepence,Republican
0.0,Missouri,2020-10-02,kamalaharris,Democrat
-0.065349996,Washington,2020-10-02,joebiden,Democrat
0.018399999,Oregon,2020-10-02,mikepence,Republican
0.043449998,District of Columbia,2020-10-02,kamalaharris,Democrat
0.0516,New Hampshire,2020-10-02,joebiden,Democrat
0.8814,Arkansas,2020-10-02,donaldtrump,Republican
0.25915998,Illinois,2020-10-02,donaldtrump,Republican
0.8074,Oklahoma,2020-10-02,donaldtrump,Republican
-0.26633,Georgia,2020-10-02,joebiden,Democrat
0.2750875,Pennsylvania,2020-10-02,donaldtrump,Republican
0.13355002,Vermont,2020-10-02,joebiden,Democrat
-0.099434786,California,2020-10-02,donaldtrump,Republican
-0.7096,Delaware,2020-10-02,donaldtrump,Republican
-0.15411428,Indiana,2020-10-02,donaldtrump,Republican
0.08676,Oregon,2020-10-02,joebiden,Democrat
0.066999994,Maryland,2020-10-02,donaldtrump,Republican
0.2952,Oregon,2020-10-02,kamalaharris,Democrat
0.09158571,California,2020-10-02,mikepence,Republican
-0.038149983,Georgia,2020-10-02,kamalaharris,Democrat
0.1286,Illinois,2020-10-02,joebiden,Democrat
-0.624,Iowa,2020-10-02,donaldtrump,Republican
0.08630833,Massachusetts,2020-10-02,joebiden,Democrat
